category/name/pt-BR,title/pt-BR,body/pt-BR
,SAMU animal doméstico ,Atendimento móvel com equipe especializada na atenção ao socorro de animais sobretudo domésticos.
Cidades,*Não só moradia mais equipamentos tambem,"*Criar mecanismo de obrigatoriedade para os gestores quando na entrega das moradias populares do.programa do governo federal que os mesmos residenciais tenham os equipamentos,como ,creche,,escolas,,Unidades,de saúde,seria de lazer,bem como transportes para acessibilidade,a outros,locais.Pois isto e negligência e a população sofre com isto"
Meio Ambiente e Mudança do Clima,Criação de uma Política Pública contra os Agrotóxicos e Pesticidas,"O meu projeto visa combater os efeitos nocivos dos pesticidas na agricultura e na saúde da população. Ele propõe a criação de um órgão federal para fiscalizar a quantidade dessas substâncias na água que vai para as torneiras, a criação de uma comissão de trabalho fixa da Presidência para avaliar a aprovação ou proibição de legalização de pesticidas e uma política federal de incentivos econômicos para práticas mais sustentáveis em relação aos pesticidas, como por exemplo, subsídios."
Cidades,Habitação um direito de todos,Fortalecimento e ampliação do programa minha casa minha vida para pessoas de baixa renda.
Integração e Desenvolvimento Regional,Plano Nacional de Integração e Desenvolvimento Territorial,"Considerando a necessidade de entender as complexidades e condições específicas de cada território do país para uma atuação mais assertiva e eficaz dos recursos públicos, é fundamental que o país possua um Plano Nacional de Integração Territorial, que integre diretrizes, objetivos e metas mensuráveis para o desenvolvimento regional, local e territorial, de forma participativa e transparente. É fundamental também, na governança desse plano, que seja realizado em parceria com os entes subnacionais"
Transportes,Reassentamento das famílias que vivem as margens da BR 381 MG,"As margens da BR 381 MG no lote 08 que compreende o trecho entre o Trevo do município de Caeté até Belo Horizonte, a pouco mais de 2.000 famílias que precisam ser incluídas no Programa Minha Casa Minha Vida, para serem reassentadas. O reassentamento é necessário devido os riscos de acidentes, já que as casas estão localizadas as margens da rodovia, e para possibilitar a duplicação deste lote 08 da BR 381 MG, trecho com o maior número de acidentes, atropelamentos, e congestionamentos."
Meio Ambiente e Mudança do Clima,Energia elétrica e Renda para todos ,"Famílias com pequenas propriedades produtoras de alimentos serão financiadas por bancos públicos a juros mínimos, para aquisição de placas solares e seus equipamentos. Levado ao campo, onde o desemprego é maior, transformará o Brasil no maior produtor de energia limpa do mundo e combaterá a fome. Gera renda complementar pela venda da energia excedente para a rede comercial, reduz a poluição no meio ambiente e diminui o preço da eletricidade à produção da indústria e de todos os consumidores."
Educação,Fim dos Vestibulares no ensino superior,"Acabar com os vestibulares como forma de ingresso nos cursos de faculdade e universidade, para democratizar o acesso ao ensino na graduação/pós/mestrado/doutorado. Deve-se criar vagas através das ""vagas olímpicas"", resultados das provas estaduais e federais (saresp e enem, por exemplo) acumulativas ao longo do ensino básico, ingresso por ciclo básico de curso (como ocorre na Argentina, por exemplo), e vagas específicas para profissionais da educação na pós, mestrado e doutorado."
Esporte,Esportes olímpicos/paralímpicos nas escolas,"Se inspirar nos Eua e em outros países, e de fato incluir um programa forte de inclusão social e pedagógico através de oficinas e treinos de esportes olímpicos e paralímpicos, além do futebol feminino desde a infância nas escolas públicas brasileiras, não só focando no futebol masculino. Com isso, se cria atletas de alto rendimento, respeito, inclusão, qualidade de vida, integração educacional e social, promoção da equidade de gênero."
Saúde,Retorno do NASF (AB) que foi extinto pelo Governo anterior,"O NASF foi criado em 2008, com o objetivo de aumentar as soluções das Equipes de Saúde da Família mediante o apoio matricial de especialistas. Com apenas uma década de existência, o NASF (AB) foi extinto pelo Governo de Jair Bolsonaro pela nota técnica Nota Técnica nº 3/2020, que revoga seu custeio. Com a desvinculação, a partir de 2020, o Ministério da Saúde extinguiu o modelo de tratamento integrado do NASF (AB), sem apresentar uma proposta que o substitua."
Direitos Humanos e Cidadania,Fim do alistamento militar obrigatorio.,"O Brasil é um dos poucos países onde o alistamento militar ainda é obrigatório. Os 143 países com forças estruturadas, 83 adotam o serviço militar obrigatório. Os jovens deveriam ter o direito de querer ou não servir o exercito!"
Gestão e Inovação em Serviços Públicos,Nomeação dos 409 excedentes do último concurso da ABIN,"A Agência Brasileira de Inteligência nos últimos anos vem passando por um processo crítico de falta de pessoal, o que vem afetando e colocando em risco a nossa democracia e segurança, como foi visto no dia 08/01/2023. Hoje, a ABIN tem 74% dos cargos vagos, são mais de quatro mil cargos vagos em um órgão de tamanha importância. Em 2018 tivemos um concurso com mais de 600 aprovados, mas apenas metade foram nomeados. A nomeação dos 409 aprovados seria um respiro para a Inteligência de Estado."
Turismo,"Pasta de instrução legal, credenciamento e qualificação a instalação, funcionamento e crédito ao empreendedorismo turístico sobre áreas de marinha","Instituição de banco de dados que contenha todos os empreendimentos turísticos formais e informais perenes.
Acesso aos dados angariados facilitando fomentação de programas de desenvolvimento turístico perfilados.
Desenvolvimento de padrão estrutural, tecnológico e logístico nacional próprio, proporcionando ornamentação aos diversos níveis dos empreendimentos nas faixas de areia oceânicas e ribeirinhas.
Fornecimento instrutivo aos cadastrados sobre legislação, qualificação e linhas de crédito."
Cultura,Biblioteca pública,Fortalecimento de políticas públicas para as bibliotecas para desenvolvimento cultural das cidades.
Transportes,"Mais ferrovias, hidrovias, teleféricos, expansão de linhas de trens, vlt, ônibus e metrôs pelo país.","Incentivar a população a usar o transporte público de qualidade, se possível com catraca livre/tarifa zero, ou pelo menos baixar as tarifas sempre, com parte da arrecadação de multas, pedágios, etc; Criar, expandir e revitalizar linhas férreas para transporte de passageiros e cargas entre cidades, estados e países vizinhos da América do Sul; Criar, expandir e revitalizar hidrovias para populações que estão distantes de alguma estrada, ou como integração em grandes cidades (rio pinheiros, etc)"
Planejamento e Orçamento,Fortalecimento do 3º Setor,"Promover a integração nacional a partir do fomento às Organizações da Sociedade Civil das diversas áreas, de maneira transversal."
Desenvolvimento Agrário e Agricultura Familiar,Infra estrutura e politica pública,"Estrutura de bem estar e politica de desenvolvimento para Assentados, quilombolas, ribeirinhos e originários"
"Desenvolvimento e Assistência Social, Família e Combate à Fome",Centros de Referência TEA em Cada Cidade,"Criar ou ampliar Centros de Referência para Pessoas Com o Transtorno do Espectro Autista ( TEA ), num nível federal, em parceria com os CRAs e as APAEs de Cada Município."
Educação,Cotas Para Pessoas Trans e Travestis nas instituições de ensino superior ,"Hoje no Brasil apenas 5 universidades brasileiras disponibilizam cotas para o ingresso de pessoas transexuais e travestis na graduação. É preciso garantir a entrada e permanência da população trans e travestis no ensino superior, para que possamos mudar a realidade dessa população através da educação !"
Meio Ambiente e Mudança do Clima,Garantindo a Preservação Ambiental: Proposta de Federalização do Parque Estadual das Sete Passagens,"Esta proposta visa assegurar a preservação do Parque Estadual das Sete Passagens, localizado na Bahia, por meio de sua federalização. A medida busca proteger a biodiversidade, envolver a comunidade e garantir a gestão transparente e participativa, em conformidade com a legislação e os acordos internacionais. A federalização possibilitará um enfoque voltado para a preservação ambiental e enfrentamento dos desafios ambientais, promovendo o desenvolvimento sustentável em benefício da sociedade."
Fazenda,Pagamento por serviços ambientais aos catadores de materiais recicláveis organizados nas associações e cooperativas solidárias.,"Pagamento por serviços ambientais aos catadores, já que a categoria usa de suas forças para reciclar os resíduos gerados por toda a sociedade, Este serviços economiza recursos naturais e deveria ser revertido aos catadores, pois é injusto que os mesmos sejam explorados por realizarem um serviço essencial sem a devida valorização."
Meio Ambiente e Mudança do Clima,Ampliar e fortalecer sistemas de unidades de conservação e áreas conservadas - 30% de todos ecossistemas inclusive para saúde e emergência climática,"O Plano ou Marco Global de Biodiversidade (CDB, inclusive pelo Brasil) prevê em sua Meta Kunming-Montreal 3 a proteção de 30% de todos ecossistemas (terrestres, marinhos e de águas interiores) em sistemas, eficazes e equitativos, de unidades de conservação e áreas protegidas e conservadas, com atenção para territórios tradicionais. Para a qualidade de vida devem ter atenção as funções para promoção da saúde e do bem-estar e para o enfrentamento à emergência climática. Inclusive nas cidades."
Direitos Humanos e Cidadania,Programa de Renda Básica às pessoas com Transtorno do Espectro Autista (TEA),"O ingresso de pessoas autistas no trabalho ainda é muito difícil e existem atualmente poucas políticas públicas de assistência à renda das pessoas com TEA. O BPC é uma importante política, mas seu critério de renda impede o acesso de grande parte de idosos e pessoas com deficiência. Um programa específico de renda voltado à população autista, independente de renda e incondicional garantiria mais dignidade a essas pessoas e suas famílias."
Meio Ambiente e Mudança do Clima,Coleta seletiva e tratamento adequado do lixo,"Chega de poluir nossas ruas e rios, precisamos aprender à lidar com o lixo! É urgente um enfrentamento à falta de coleta seletiva, em especial nos bairros periféricos. Proponho a criação de um programa educacional de enfrentamento à poluição por plásticos, por exemplo. Com matéria na escola, investimento em inovação e a criação de programas nas universidades para fazer do lixo uma fonte de energia limpa, ou pelo menos, mais sustentável. A criação de centros de reciclagem gerando empregos."
Desenvolvimento Agrário e Agricultura Familiar,Fome se acaba com reforma agrária ,"Assentamento das 65 mil  famílias acampadas para combater a fome, a reforma agrária contribui com o combate à fome com a produção de alimentos saudáveis. Políticas públicas para a população do campo com destinação de créditos para a produção de alimentos saudáveis, construção e fortalecimento das escolas no campo o pronera como uma política importante para os agricultores, fortalecimento do programa de habitação."
Justiça e Segurança Pública,Moto sempre com placa após a venda da loja,Sempre que um veículo for vendido só poderá sair da loja com placa. E preciso identificar para que alguns com má intenção use para praticar delitos
"Ciência, Tecnologia e Inovação","Dinheiro Público, Código Público: Inovação e Soberania Tecnológica para o Brasil","O futuro do Brasil está nas mãos da inovação e do conhecimento. ""Dinheiro Público, Código Público"" busca impulsionar nosso desenvolvimento tecnológico através do uso de código aberto e software livre. Essa abordagem promove colaboração, transparência e democratização do conhecimento. Ao investir em soluções de código público, garantimos a soberania tecnológica, permitindo que o Brasil crie, adapte e aprimore tecnologias de acordo com nossas necessidades e valores. Por um futuro digital inclusivo"
Desenvolvimento Agrário e Agricultura Familiar,Novo agricultores familiares ,"Com a tendência do êxodo da cidade para as áreas rurais, sobretudo após a pandemia, muitas famílias vem precisando Realizar O Cadastro Nacional da Agricultura Familiar (CAF), contudo as exigências são incompatíveis com este perfil de novos agricultores familiares, pois estes, não possuem uma história rural, essas famílias estão iniciando sua historia JUNTO A TERRA. Na sua maioria  estão voltadas às práticas agroecológicas."
Trabalho e Emprego,Empresa Pública de publicidade para campanhas políticas e outras necessidades do estado,"A título de pensar principalmente no uso da verba publica nas eleições que ocorrem a cada 2 anos, penso que o dinheiro do fundo eleitoral poderia ser empregado numa empresa pública de publicidade, na qual ela seria responsável por todos os gastos com comunicação, desde a produção de santinhos, cartas propostas e demais materiais de campanha, até fotografias, vídeos e demais necessidades dos candidatos.
em suma, reverter o gasto da eleição com o próprio estado que contrataria mão de obra."
Turismo,"Pasta de instrução legal, credenciamento e qualificação a instalação, funcionamento e crédito ao empreendedorismo turístico sobre áreas de marinha","Instituição de banco de dados que contenha todos os empreendimentos turísticos formais e informais perenes.
Acesso aos dados angariados facilitando fomentação de programas de desenvolvimento turístico perfilados.
Desenvolvimento de padrão estrutural, tecnológico e logístico nacional próprio, proporcionando ornamentação aos diversos níveis dos empreendimentos nas faixas de areia oceânicas e ribeirinhas.
Fornecimento instrutivo aos cadastrados sobre legislação, qualificação e linhas de crédito."
Segurança Institucional,Investimento em infraestrutura de segurança com câmeras,Usar a tecnologia à nosso favor com a solução de identificar crimes e punir os envolvidos com seriedade. Buscar parcerias com empresas chinesas com fornecimento de tecnologia suficiente para identificar por meio de mapeamento facial as pessoas igual fazem na china.
Educação,A saúde mental dos alunos brasileiros,"As tentativas de massacre e massacre ocorridos são, muitas das vezes, consequências do bullying escolar. Mesmo sendo um assunto cotidiano das escolas, ainda é encarado como tabu. Os alunos não têm um apoio psicológico sequer e ainda sofrem a pressão escolar e familiar, são ocasionados com Bullying todos os dias. Cabe o governo juntamente a escola, promover apoio psicológico para os alunos e também a criação de leis que busquem ajudar tanto a vítima como o praticante."
Saúde,Atendimento Precoce - Histórico de morbidades,"Proponho que grávidas e crianças recém-nascidas, tenham associados a si, além de seus próprios exames e diagnósticos, informação do históricos de causa mortis dos seus antepassados (país, irmãos, avós e tios) mediante autorização da própria mãe ou responsáveis. 
Cartórios enviariam o motivo da morte digitalmente ao SUS.
Isso proporcionaria possibilidade de atendimento precoce preventivo. 
Planos, caso tivessem acesso também, não poderiam fazer discriminação de segurados com histórico."
Direitos Humanos e Cidadania,"Cota parlamentar obrigatória para mulheres, negros e deficientes, onde em casa eleição obrigatoriamente se elegeria uma porcentagem de cada parcela","Penso que para uma total paridade de parlamentares em todos os âmbitos (vereadores, deputados estaduais, federais, senadores) é preciso que haja um mecanismo que obrigue a ter determinadas porcentagens eleitas para esses cargos. Penso então todas as casas legislativas deveriam ser ocupadas, por exemplo, com 50% de mulheres, 50% de pessoas negras e 10% de pessoas com deficiência (porcentagem médias dessas pessoas na sociedade). Na eleição se elegeria exatamente essa porcentagem pelos votos"
Planejamento e Orçamento,Criação do Brasil Cidades -  Carteira de Projetos e Programa Nacional para uso racional das Emendas Parlamentares,"Consiste num programa para retomada de obras de pequeno e médio porte nas cidades brasileiras.
Destinação de  5 bilhões destinado a uma emenda especial, denominada Brasil Cidades. Cada parlamentar terá direito a 8 milhões.
Para o Programa, será criada a ""Carteira das Cidades"", onde cada cidade brasileira terá ao menos um projeto de obra cadastrado e as emendas obrigatoriamente alocadas nessa carteira. Estima-se a geração de meio milhão de empregos diretos, além de moralizar o uso das emendas."
Cultura,Criação de grupos de teatro e dança público em todo o país,"O estado deveria criar grupos de teatro e dança públicos em todo o país, do mesmo que fomenta orquestras de música. Ou seja, formar grupos com profissionais devidamente formados e diplomados na área de teatro e dança, que assumiriam um cargo público como qualquer outro e teria que cumprir uma carga-horária comum a qualquer funcionário do estado, com remuneração e direitos semelhantes. Os grupos deveriam atuar pesquisando e montando espetáculos, oferecendo cursos e prestar serviços pra sociedade"
Cultura,Conexão Cultura: Promovendo Intercâmbio Cultural e Fortalecendo a Diversidade Criativa,"Essa proposta visa promover o intercâmbio cultural no Brasil e no mundo, oferecendo bolsas e incentivos para fazedores de cultura de todas as áreas. Essa iniciativa valoriza a diversidade criativa e estimula o diálogo entre diferentes expressões artísticas. Através do intercâmbio, artistas, escritores, músicos e produtores culturais terão a oportunidade de compartilhar experiências, conhecimentos e perspectivas, enriquecendo nossa identidade cultural e fortalecendo os laços entre as comunidades."
Transportes,Implementar  Extensão de Complexo Viário - VLT na Cidade de Maceió ,"Considerando que, a mobilidade urbana é definhada como a condição que permite o deslocamento das pessoas, em uma cidade. Esta lei pretende adicionar a subação ""Implementar extensão de complexo viário VLT na cidade de Maceió, ao Programa 0011/Maceió Bem Cuidada - Dimensão III - do Projeto de Lei 479/2021, que dispõe sobre o Plano Plurianual para o período de 2022/2025 no município de Maceió. A execução deste, beneficiará mais de 64 mil habitantes entre os bairros do Centro, Poço e Jatiúca."
"Desenvolvimento e Assistência Social, Família e Combate à Fome",Agente comunitário de Desenvolvimento Social,"Assim como no SUS há Agente comunitário de Saúde, que é trabalhador chave na estratégia de Saúde da Família, criar o cargo estratégico do SUAS, o Agente Comunitário de Desenvolvimento Social, que conheça a comunidade pelos seus aspectos familiares, sociais, políticos, econômicos e utilizando-se de ferramentas relacionadas à cultura, arte, articulação comunitária, fortalecimento de lideranças pode apoiar a ampliação e da estratégia do SUAS e aumento da qualidade da atuação da equipe na comunidade"
"Desenvolvimento, Indústria, Comércio e Serviços",Criar padrões éticos mínimos para o uso de chatbots e assistentes virtuais no atendimento ao cliente,"Padrões éticos mínimos para o uso de chatbots e assistentes virtuais no atendimento ao cliente, de modo a evitar que as pessoas humanas tenham seus direitos negados/negligenciados."
"Desenvolvimento, Indústria, Comércio e Serviços",Reindustrialização Brasileira baseada numa migração de Matriz Energética e Geração de Hidrogênio Verde.,"Realizar um projeto de Reindustrialização Brasileira baseada no desenvolvimento de setores da indústria relacionado a geração de Energia Renovável, Geração e Armazenamento de Hidrogênio Verde e Veículos movidos a hidrogênio, viável através, de conhecimento e pesquisas Brasileiras, como as da USP e COPPE da UFRJ, sobre uso de Hidrogênio em carros e ônibus, podendo ser impulsionadas por tecnologia de parceiros econômicos brasileiros como montadores de veículos chineses ou a marca japonesa Toyota."
Educação,Universidade Federal do Nordeste da Bahia,"Criação da Universidade Federal do Nordeste da Bahia, uma região sem acesso ao ensino superior gratuito que abrange 4 macrorregiões e terá campus em diversas cidades, incluindo Alagoinhas, Ribeira do Pombal e Ipirá"
Educação,Reforma do Jovem Aprendiz,"Reforma do Jovem Aprendiz: padronização das profissões de Jovem Aprendiz e emissão de diploma ou certificado após conclusão bem-sucedida do curso de Jovem Aprendiz, válido em todo o país como comprovação da qualificação profissional adquirida."
Educação,Aumento dos Institutos Federais de Educação ,"Aumento dos Institutos Federais de Educação.
Minha cidade, Ipirá-BA, necessita de um desse…"
Educação,Verbas para Educação,"Utilizar 10% do PIB para investimentos em educação por um período de 10 anos no mínimo. Com redução gradativa até que todos os deficitis existentes sejam sanados de forma satisfatória, porém esses investimentos nunca serão inferiores a 5% do PIB por um período de 30 anos."
Educação,Incentivo a quitação do FIES,Dar um desconto significativo a quem resolver quitar o saldo devedor do FIES…
Meio Ambiente e Mudança do Clima,Apoio a criação e manutenção de Reservas Particulares do Patrimônio Natural (RPPN),As Reservas Particulares do Patrimônio Natural (RPPN) integram o Sistema Nacional de Unidades de Conservação (SNUC). Essa importante categoria de unidade de conservação é criada por um ato voluntário do seu proprietário o qual é registrado na matrícula do imóvel garantindo a sua conservação para todo o sempre. No Brasil são mais de 1.800 reservas que juntas protegem mais de 800 mil hectares de áreas naturais e biodiversidade para todo o sempre!
Gestão e Inovação em Serviços Públicos,Transparência Ativa: Engajando Cidadãos com Inteligência Artificial e Dados Abertos no Combate à Corrupção,"Promover a transparência ativa por meio da integração dos portais de transparência, ouvidoria, dados abertos e outros, com o uso de inteligência artificial para em caso de situações suspeitas, o sistema identificará e convidará um cidadão para fiscalizar localmente, fornecendo uma foto ou relato da obra/projeto/benefício em questão. Essa abordagem empodera os cidadãos e promove a participação ativa na fiscalização em busca de uma gestão pública mais transparente e responsável."
Cidades,Incentivo a quitação do financiamento habitacional,Dar um desconto significativo a quem resolver quitar o financiamento habitacional nos bancos publicos
Meio Ambiente e Mudança do Clima,Depósito para garrafas incentivando a reciclagem,"Implementação de um sistema de depósito obrigatório em garrafas e latas de bebidas, onde o consumidor pagaria o valor do depósito no momento da compra e o recuperaria ao devolver a embalagem vazia em estabelecimentos comerciais. Isso incentivaria a reciclagem de resíduos sólidos, contribuindo para a redução da poluição ambiental e estimulando a economia circular."
Povos Indígenas,Regularização fundiária dos Povos Indígenas no Brasil,"Garantir dotação orçamentária para a implementação das diferentes etapas dos processos de demarcação territorial e de aquisição, além da desintrusão de terras indígenas já homologadas, garantindo ações de defesa, vigilância, monitoramento, fiscalização e prevenção de conflitos em terras indígenas, realizando ações conjuntas de retirada de invasores, pela Funai em parceria com os demais órgãos e entidades da administração pública federal, estadual, municipal e do Distrito Federal."
Direitos Humanos e Cidadania,Política Pública de Habitação Popular em Maceió,"Considerando a importância do Programa de Habitação de Interesse Popular, como também a Declaração Universal dos Direitos Humanos de 1948 e ratificado pelo Brasil na Constituição Federal de 1988. Esta proposta visa Destinar prédios públicos abandonados no Centro da Cidade para a habitação de interesse social, a partir do Programa 0011 - Maceió Bem Cuidada - Dimensão III - do Projeto de Lei 479/2021, que dispõe sobre o Plano Plurianual para o período de 2022/2025 no município de Maceió."
Meio Ambiente e Mudança do Clima,Implantar moradias com biodigestores para produção de energia elétrica,"Fabricação de biodigestores  com fabricação de baixo custo para ser implantadas nos novas edificações e implantar biodigestores em edifícios existentes,
A partir do lixo orgânico gerado nas próprias residências este lixo possa converter em energia elétrica que possa com isso, de modo sustentável,  diminuir o custo da conta de luz."
Fazenda,Isenção de impostos para alimentos e gêneros de primeira necessidade ,"Retirar os impostos sobre alimentos in natura e gêneros de primeira necessidade da cesta básica, a fim de possibilitar o acesso a alimentação saudável para todos os brasileiros.
Implementar classificação de saúde para todos os itens alimentícios, de forma que, quanto mais nocivo, maior o imposto a ser taxado por  todas as esferas governamentais.
Revisar todos os subsídios dados a indústria alimentícia ou similares, em consonância a classificação de saúde."
Saúde,Política Nacional de Educação Popular e Saúde no SUS,"Retomada da implementação da política Nacional de Educação Popular e Saúde no Sistema Único de Saúde PNEPS-SUS 

PORTARIA Nº 2.761, DE 19 DE NOVEMBRO DE 2013"
Gestão e Inovação em Serviços Públicos,Criação de Base Única de Dados Cadastrais da População,"Tomando como base os principais cadastros do Governo ( SUS, TSE, Polícia Federal, Receita Federal Ministério  do Trabalho ), aglutinar os dados em grupo de dados: PESSOAL (nome, filiação, sexo, com, raça ), ENDEREÇO, FISICO ( cor  olhos, tipo sanguíneo), DOCUMENTOS (identidade, título, CNH, CPF, etc.).
Nesta unificação, há que se tomar cuidado com a grafia do nome, principalmente caracteres especias.  
Esta base seria compartilhada com outros sistemas , que alimentariam informações específicas."
Povos Indígenas,Implementação de políticas públicas específicas nos Territórios Indígenas no Brasil,"Promover a implementação de políticas específicas voltadas à garantia de educação escolar e saúde indígena, bem como, realizar a inclusão dos povos indígenas nas ações, projetos e programas de etnodesenvolvimento dos territórios indígenas, habitacionais, de garantia e geração de renda, acesso à eletrificação rural e o financiamento das cadeias e arranjos produtivos indígenas no Brasil"
"Desenvolvimento e Assistência Social, Família e Combate à Fome",Plano Estadual de Segurança Alimentar e Nutricional de Alagoas (PLANSAN),"O reconhecimento da Insegurança Alimentar e a Fome como uma prioridade de governo é urgente, o contrário disto é fechar os olhos para mais de 1 milhão de alagoanos e alagoanas que vivem na  miséria. É preciso ter um planejamento para a erradicação da fome  em Alagoas, um plano que seja concebido considerando os  multiplas causas da insegurança alimentar e nutricional , concebindo ouvindo a população e comprometido com a tarnsformação social e pela defesa  do direito humano a alimentação adequada"
Educação,Educação básica com  qualidade do ensino e da aprendizagem ,"Investimento suficiente na educação básica para garantir as necessárias condições de trabalho, formação , valorização profissional e dignidade Salarial aos trabalhadores em educação a fim de propiciar um ensino e aprendizagem de qualidade aos estudantes brasileiros."
Agricultura e Pecuária,Agricultura familiar ,Libera a DAP porqua o CAF está sem condições e para muitos agricultores e agricultoras estão impossibilitado a tira pela comprovação em falta de técnicos na area
"Ciência, Tecnologia e Inovação",Empoderamento social da inovação,Capacitação da população em comunidades rurais para acessar novas tecnlogias e promover a sua integração com os saberes tradicionais e ancestrais promivendo a inclusão social e digital na geração.de emorego e renda.
Educação,Educação digital nas escolas,"Minha proposta é pensar nacionalmente iniciativas de educomunicação, educação midiática, educação digital, qualquer que seja o termo escolhido para tratarmos da cidadania digital das escolas. É inegável que estamos criando jovem em um mundo digital sem amparo. Precisamos pensar em políticas educacionais que cuidem dessas questões."
Saúde,Programa Nacional de Redução de Agrotóxicos - PRONARA*,"Implementar o Programa Nacional de Redução de Agrotóxicos - PRONARA
criado, em dezembro de 2013, pela 
Comissão Nacional de Agroecologia e Produção Orgânica – CNAPO, um Grupo de 
Trabalho, GT Agrotóxicos, constituído por representantes do governo e da sociedade"
Educação,Atenção básica de educação ,"Criar equipe de atenção básica para a educação com professores, psicopedagogos, assistente social, psiquiatra e psicologos para fins de acompanhamento e controle emocional infantil e evitar a violência nas escolas."
"Ciência, Tecnologia e Inovação",Prêmio anual nos moldes do prêmio Nobel - Para cientistas Brasileiros ,"Criar um prêmio no estilo prêmio Nobel, para os cientistas brasileiros com maior contribuição em suas respectivas áreas, seria um prêmio anual de grande valor assim como uma medalha, seria uma forma de valorizar os nossos talentos científicos e reter estes talentos, para impulsionar a invasão brasileira a novos patamares."
,Segurança Pública Básica através das Guardas Municipais ,Que os prefeitos municipais invistam mais na segurança pública básica de seus municípios.
Transportes,Diques em área de riscos,"Fazer manutenção e ampliação do dique na Rj194 em Guarus, em Campos dos Goytacazes para proteção dos moradores que moram próximos ao Rio Paraiba do Sul."
Educação,Ensino da lingua nativa indigena nas escolas municipais ,"O Brasil tem a maior diversidade etnica do mundo em seu território.  Há 523 anos sofremos um processo de apagamento de nossas raizes culturais e ancestrais.  Uma dívida historica que precisa ser reparada.
O ensino de nos linguas nativas dissemina esse conhecimento para todos os brasileiros e é uma maneira de resgatar nosso orgulho, nossa raiz indigena e enfrentar o racismo que durante séculos foi praticado contra nossos povos. Observar a necessidade da contratação de professores locais nativos."
Previdência Social,Incentivo à Previdência ,"Criar ações para incentivar trabalhadores informais a fazer o recolhimento previdenciária para garantia futura de sua vidas, sem muita necessidade permanente de benefícios assistenciais."
Saúde,Educação Popular em Saúde no SUS e apoio no Programa Nacional de Redução de Agrotóxicos ,"Retomada da implementação da política Nacional de Educação Popular e Saúde no Sistema Único de Saúde PNEPS-SUS publicada na PORTARIA Nº 2.761, DE 19 DE NOVEMBRO DE 2013
Implementar o Programa Nacional de Redução de Agrotóxicos - PRONARA
criado, em dezembro de 2013, pela
Comissão Nacional de Agroecologia e Produção Orgânica – CNAPO, um Grupo de
Trabalho, GT Agrotóxicos, constituído por representantes do governo e da sociedade"
Educação,Bolsa estudante ,"Criar um programa social voltada para os estudantes do ensino fundamental e médio da rede publica, neste programa seria premiado com um valor em dinheiro, o aluno que tivesse um bom desempenho nos estudos ao longo do mês, seria levado em conta o aluno que não faltasse, quanto maior a nota mais ele receberia, e no final do ano seria feito um sorteio para os 100 melhores alunos do Brasil com prêmios variados, seria para incentivar os estudos, e melhorar o nível de educação nossos jovens."
Educação,Educação para o Trânsito nas Escolas.,"Proponho que seja criada a Matéria, ""EDUCAÇÃO PARA O TRÂNSITO, nos ensinos fundamental e médio, Basicamente seria sobre a legislação de trânsito vigente no país, visto que a maioria dos condutores chega para obter a CNH, sem o mínimo conhecimento teórico. Hoje nas grandes capitais como São Paulo, temos um alto número de acidentes com vítimas, e isso acontece principalmente pela falta de preparo destes condutores. O CTB em seu art.76 fala neste assunto.
Seria uma conquista para o Brasil."
Meio Ambiente e Mudança do Clima,Telesaúde animal,"Implementar a telesaúde para apoio aos cuidados  com os animais domésticos. A telesaúde é fundamental para democratizar o acesso à medicina veterinária, melhorando as condições de saúde dos animais."
Comunicação Social,Melhorar a comunicação do Governo com grupos dentro de cada ministério e apoio de críticos e influencers! Informar ações e Combate a desinformação,"Criar grupos de comunicação dentro de cada ministério para divulgar as notícias do governo em cada área e principalmente combate a fakenews e distorções. E tem que ser atuação imediata, constante.
E atuar em todas as vertentes de comunicação: entrevistas , redes sociais,  tv, radio...
Necessário fazer parceria com críticos das redes sociais e blogs , e grandes influencers.
Necessário Lula aparecer mais e fazer lives. Não só no canal dele mas nos canais de podcats.USA O INSTAGRAM DO LULA COM AÇÃO"
"Ciência, Tecnologia e Inovação",Inserção na ciências e tecnologias,Inovações e novas tecnologias em sincronia como desenvolvimento humano.
,Passaporte cultural.,"O passaporte cultural é um benefício social concedido aos estudantes do ensino médio do Brasil. Que são em média 7.770,000 e que tem como objetivo fomentar o setor cultural tornando os alunos em potências consumidores dos produtos culturais, ex: cinema, teatros, shows, Circus,parques lanchonete etc . o valor seria de R$ 100,00 por aluno, e o mesmo não poderia ter falta sem justificativa no mês para poder receber o benefício."
Direitos Humanos e Cidadania,Moradias públicas.,Que novas moradias sejam disponibilizadas principalmente a pessoas de baixa renda. Aqui em Maringá já existe uma lista de espera imensa. Novas casas poderiam ser feitas já que existe grandes terrenos desocupados na cidade.
Previdência Social,Correção dos salários dos aposentados e pensionistas do Governo Federal,"Muitos daqueles que trabalharam durante suas vidas, bem como viúvas e seus filhos tem sofrido com a defasagem de, aproximadamente, uma década nos seus salários. Por causa disso, muitos deles estão em condição de baixa renda. Assim, e necessário corrigir essa defasagem de renda."
"Desenvolvimento, Indústria, Comércio e Serviços",Jornada de trabalho de 36 horas,"Reduzir a jornada semanal de trabalho para 36 hs, o que posdobilitara a criação de mais postos de trabalho, diminuindo o alto índice de desemprego."
