Categoria,Texto
Meio Ambiente e Mudança do Clima,"Qualidade Ambiental.    Preservar a qualidade ambiental através do uso sustentável dos recursos naturais, estimular a adoção de medidas socioambientai. A - Instituir Selo de eficiência  ambiental  nos meios de produção e para os  produtos produzidos, até 2025.
b-Conscientizar/educar a sociedade sobre os impactos ambientais da produção,do consumo,  uso e descarte de produtos, levando a uma mudança no padrão de produção e consumo e assim reduzir seus impactos negativos sobre o meio ambiente, até 2027."
Meio Ambiente e Mudança do Clima,"Fomentar uma economia que valorize as cadeias sustentáveis, por meio de soluções tecnológicas baseadas na natureza e nos conhecimentos das comunidades. '- Indicador Nacional de eficiencia ambiental em aréa rural e de trasição urbana:
a - % de produtores (agricola e pecuaristas), em escala industrial, que aderiram a meios de produção sustentávéis, com selo verde de produção, por U.F
b - Nº de projetos de produção sustentavel, não industrial,  apoiados por U.F, com selo verde produção.
c - Nº de projetos de produção de energia limpa implantados, por UF.
Aumentar em x % o numero de atividades rural com pegada sustentavel de produção. 
Aumentar em x"
Meio Ambiente e Mudança do Clima,"Cadastro nacional de atividades da industria de transformação e uso dos recursos naturais.. Cadastro em que fosse possível implementar selo de ecoeficiência na produção e consumo, tipo em toda a produção, produto e consumo fossem possível seguir a matéria natural empregada, bem como seu destino após uso e reuso."
Gestão e Inovação em Serviços Públicos,"Centralizar os serviços disponibilizados para a sociedade com o Gov.Br . Prezados, boa tarde! Gostaria de fazer uma sugestão. A inclusão de um projeto em que todo o governo, em especial os que disponibilizam serviços aos cidadãos, independentemente de esfera (estadual e municipal também), utilize ou migre para o gov.br de forma a centralizar os serviços disponibilizados para a sociedade."
Saúde,"Reducao de danos. Reinserção social como participação democrática, traz o exercício do direito da escolha, ao mesmo tempo em que a responsabilidade individual resgata a consciência da autonomia. O Programa de Redução de Danos, se faz presente mostrando sua importância na orientação e prevenção, no que diz respeito a drogas, álcool, comorbidades e outras doenças. Onde o usuário é o protagonista tendo o seu direito de escolha respeitado, ou seja, autonomia. Dito isto, é de suma importância que esse programa retorne"
Fazenda,"Declaração Automática no Imposto de Renda. Declarar no Imposto de Renda ainda dá dor de cabeça para brasileiros (pessoas físicas). Apesar de que Receita Federal ter implementado o novo recurso de Declaração Pré-Preenchida, é um bom começo para digitalização completa. No entanto, tem um território onde as pessoas não precisam declarar ""manualmente"", mas têm a declaração automática no sistema, isso foi na Ilhas Faroe sob o domínio de Dinamarca, teve uma reportagem recente de BBC sobre isso.
Link: https://rb.gy/g2736"
Desenvolvimento Agrário e Agricultura Familiar,"Programa Sol para todos. Por analogia ao que foi feito com o programa cisternas proponho que seja criado no Ministério do Desenvolvimento Agrário e Agricultura Familiar um Programa para instalação de Usinas Fotovoltaicas em propriedades de até 30ha com faturamento bruto anual inferior a R$200.000,00. Pode ser um programa misto com entrega a fundo perdido para agricultores beneficiários de programas sociais de transferência de renda e subsidios escalonados conforme a renda."
Cultura,"Festejar Dia 07 de Setembro como Dia da Brasilidade, com shows artísticos. Aqui no Brasil, o Dia da Pátria, 7 de Setembro, normalmente é celebrado com desfiles militares e nada mais.

Se não estou enganado, em Nova York, por volta do dia 7 de setembro, há o Brazilian Day, em que a comunidade brasileira tb celebra o Brasil com shows artísticos.

Então, a proposta que deixo é: passar a celebrar o 7 de Setembro, o Dia da Pátria, também com shows artísticos, com festa popular, celebrando-se a brasilidade."
Desenvolvimento Agrário e Agricultura Familiar,Convivência com o Seminárido . Criar a Política e o Fundo Nacional de Convivência com o Semiárido
Planejamento e Orçamento,"Fundo Eleitoral - reajuste pela variação da inflação ou pelo salário mínimo. A cada dois anos tem-se eleições no país e tem-se que fazer a votação da dotação orçamentária disponível para o Fundo Eleitoral.

Proposta: limitar o reajuste do Fundo Eleitoral à variação da inflação ou ao percentual de aumento do salário mínimo desde a última eleição."
Cultura,"Territórios de Identidade . Promover a implantação dos Territórios de Identidade e diversidade sócio cultural desta Nação, assegurando uma representação de articulação, promoção, fruição e difusão das políticas públicas da Cultura e acesso aos bens e serviços culturais nas unidades federativas do estado brasileiro"
Casa Civil,"Voto eletrônico do cidadão na camara e senado. Proponho que seja permitido todo brasileiro possa votar nas sessões das câmaras e senado através do sistema GOV.BR, 

A ideia é que o cidadão possa acessar o GOV.BR, ver a pauta de votação do dia, e participar votando diretamente através do app 

Inicialmente o peso do voto cidadão em cada sessão da câmara seria com um voto na proposta após apurar maioria, e aumentar em fases até ter 50% de peso com os deputados e senadores"
Educação,"Acessibilização da Universidade Pública. Precisamos acessibilizar e garantir universidade para todo o estudante brasileiro que quiser estudar, de forma aberta, sem qualquer custo, para absolutamente todes, sem distinção."
Educação,EJA CAMPO - Educação de Jovens e Adultos integrada a Qualificação em Práticas Agrícolas. . A EJA Campo propõe desenvolver a alfabetização e escolarização do Ensino Fundamental integrada a qualificação em práticas agrícolas.
Trabalho e Emprego,"Software Livre, público e nacional, Cooperativismo, Infraestrutura de Rede Distribuída e Pública, Soberania Digital Popular e Valorização do Trabalho. O Estado deve fomentar a estratégia nacional de Soberania Digital/Informacional com protagonismo popular, em contraponto à plataformização e ao colonialismo de dados. Na infraestrutura, usar a capilaridade dos Institutos Federais, Universidades e dos Correios pra criar uma ""nuvem popular"" para hospedar software livre/público, especialmente os desenvolvidos no Brasil. Apoiar Inovação Social via Cooperativas de Plataforma e prover serviços digitais valorizando o trabalhador, contra a precarização"
Saúde,Mais capacitação.... Na área da saúde e Educação mais qualificação para os profissionais.
Transportes,"Investimento em saneamento básico e despoluição das bacias hidrográficas . Investir nos programas de despoluição das bacias hidrográficas do país, como a Baia de Guanabara, rios como o Paraíba do Sul e Tietê, entre outros. Este programa tem impactos diretos na saúde, empregabilidade e renda da população bem como resconstituição da flora e da fauna originais desses ecossistemas."
Mulheres,"Politica de Cuidados. Criação da Política Nacional de Cuidados com oferta de creches pública e gratuita,
educação em tempo integral, cozinhas e lavanderias comunitárias, restaurantes
populares, centros dia e outros espaços de socialização dos cuidados de pessoas
dependentes."
Minas e Energia,"Reestatização das empresas subsidiárias / refinarias da PETROBRAS. Reestatizar as empresas que pertenciam ao sistema PETROBRAS para que retorne o desenvolvimento tecnológico, energético e industrial do Brasil. O Estado é o indutor do desenvolvimento nacional e a PETROBRAS é parte principal nesta iniciativa"
Integração e Desenvolvimento Regional,"Construção da Adutora Umari - Campo Grande. Construção da adutora Umari - Campo Grande que garantirá segurança hídrica para abastecimento das populações dos Municípios de: Campo Grande, Janduís, Messias Targino, Patu e Almino Afonso e Outras cidades da região."
Minas e Energia,"Reestatização da Eletrobras. A energia é insumo estratégico e crucial para o desenvolvimento de qualquer país, Como elemento essencial ao desenvolvimento da nação,  devido ao porte dos investimentos envolvidos além de que a energia não deve ser uma ""mercadoria"" cujo lucro seja o principal ingrediente, o Estado deve reassumir a ELETROBRAS."
Educação,"Educação na Amazônia - Orçamento  de  acordo com o custo amazônico, o investimento deve considerar o custo amazônico para maior êxito dos estudantes. O IDH do Brasil  registra o valor de 0,754. Considerando os países latino-americanos, o país está na 10ª colocação. Na região Norte, a situação de acesso permanência e êxito dos estudantes é precária considerando a extensão da região e a dificuldade de acesso às escolas, situação que todos conhecem, o custo amazônico deve ser a estratégia fundamental para a oferta de educação digna na região norte. O custo amazônico deve considerar as realidades locais, o financiamento será garantido na LOA."
Saúde,"Profissão regulamentada condutor de ambulância . Regulamentar a profissão de condutor de veículos de urgência e emergência, ambulância de acordo com a ABRAMCA."
Secretaria Geral da Presidência da República,"Reforma Política. Realizar uma reforma política urgente. 
-Diminuindo a propagação de tantos partidos a bel prazer;
-Proibindo a reeleição de prefeitos, governadores e presidente da República, e nesse sentindo, poderia se estender a duração dos mandatos;"
Saúde,"Criação de sus animal - SUSA. O projeto de criação do SUS Animal (SUSA) é de suma importância, pois visa garantir o bem-estar e saúde animal. Assim como o SUS para humanos, o SUSA proporcionará acesso equitativo a serviços veterinários, prevenção de doenças, vacinação, castração e atendimento emergencial. Isso contribuirá para reduzir o abandono e os maus-tratos, controlar zoonoses, promover a saúde pública e estimular a responsabilidade e o respeito pelos animais."
Saúde,"Políticas públicas de prevenção a saúde mental e violencia - pelo bem viver. As unidades de todos os programas governamentais federais, estaduais e municipais precisam de psicólogas e assistentes sociais em cada uma de suas instalações, sejam escolas, unidades de saúde ou outros programas públicos. Esses profissionais são essenciais para desenvolver um ambiente profissional e social de qualidade. Existem leis não implementadas da atuação nas escolas, contudo todo o serviço público precisa desses profissionais como prevenção a saúde mental restaurando o bem viver ."
Educação,"Implantação de Campus do Instituto Federal de Educação Ciência e Tecnologia do Triângulo Mineiro/ IFTM no município de Ibiá/MG. Esta proposta tem por finalidade a implantação de um Campus do Instituto Federal de Educação, Ciência e Tecnologia do Triângulo Mineiro/IFTM no município de Ibiá/MG considerando as demandas do município e o funcionamento do Polo Presencial que está instalado desde 2009."
Saúde,"Mais sus ou sus para todos - prevenção em saúde em todo território nacional. Implementação e incentivo a prevenção em saúde pública que busque reduzir as desigualdades sociais por meio da reflexão sobre a qualidade de vida nas diversas regiões do país que contrate os mais diversos profissionais de saúde, e não só médicos, pensando a saúde de forma preventiva e integrativa, principalmente refletindo a saúde a partir de uma existência socio-ambiental, seja em comunidades originárias, ribeirinhas, quilombolas ou em pequenos cidades com menos de 100 mil habitantes e capitais"
Turismo,Desenvolvimento do turismo rural. Fortalecer o turismo rural no interior dos estados. Manter e ampliar o programa Experiências do Brasil Rural fomentando o desenvolvimento e a promoção do turismo no meio rural.
Cidades,Formação  de Lideranças Quilombo las. Curso extensivo de Formação para Comunidades Quilombolas com enfase na liderança local
Turismo,"Orçamento Próprio para as Secretarias Municipais de Turismo. Orçamento próprio para as secretárias municipais de turismo a fim de garantir a contratação de Turismólogos , para elaboração de inventários, e planos de turismo. Assim, garantir o desenvolvimento do turismo de forma ordenada e planejada. Pedimos apoio de todos em prol do turismo. gid://decide/Decidim::Hashtag/5/ABBTUR CE"
Turismo,"Realização de Conferências de Turismo. Realização de Conferências Estaduais e Municipais de Turismo, a fim de pautarmos as demandas do setor, assim como ocorre em outros segmentos; Pedimos apoio de todos em prol do Turismo. gid://decide/Decidim::Hashtag/5/ABBTUR CEARÁ"
Turismo,"CRITÉRIOS: Inventários turísticos e plano de turismo ( PRT). Comprovação de Inventários turísticos e plano de turismo, também como um dos critérios do PRT, para inserir o município no mapa. Assim, podemos motivar um turismo de forma planejada e ordenada. gid://decide/Decidim::Hashtag/6/ABBTURCE"
Direitos Humanos e Cidadania,"Inclusão da disciplina Cidadania no ensino infantil, fundamental e médio. Os conteúdos desta disciplina seriam obrigatórios e não apenas abordados como optativos em temas transversais. Neste caso, os conteúdos ministrados poderiam ser os seguintes: educação para o trânsito, educação ambiental e conscientização para prevenção de toda e qualquer tipo de violência (doméstica, étnica, classe social, religiosa, sexual, etc)."
"Ciência, Tecnologia e Inovação","Governo digital. O objetivo é melhorar a entrega de serviços públicos, aumentar a participação cidadã e promover a eficiência e a transparência no governo."
Cultura,"Regulamentação da profissão do professor,  contramestre e mestre da capoeira . Regulamentar a capoeira como profissão."
Meio Ambiente e Mudança do Clima,"Programa de promoção do saneamento ambiental . Existem diversas propostas eficientes de tratamento de esgoto de forma sustentável e ambiental.  Fundamental que o governo auxilie, apoie e implemente esses projetos"
Educação,Qualificação para professores da rede pública de ensino. Mais incentivos pra professores da rede publica e programas de qualificação especifica pra lidar com alunos marcados pela violência das periferias.
Casa Civil,"Igualdade com equidade transformam a pluralidade de uma sociedade. A cultura de uma sociedade que se baseia na confiança mútua e na baixa desigualdade são essenciais para que as Instituições Públicas se tornem fortes, e que, por sua vez, cria um Estado fortalecido em suas bases sociais, com pouco ou quase nenhum fator corruptor. Para tanto, é preciso um olhar político criterioso em 5 fatores: processo eleitoral com pluralismo, liberdade civil, funcionalidade do governo, participação política da sociedade que agregue uma cultura política correta na Sociedade."
Trabalho e Emprego,"Geração de emprego e renda  para a zona rural.. A minha proposta é que o governo federal crie uma programa de emprego, exemplo famílias de baixa renda que mora em zona rural beneficiária do bolsa família  seja incentivadas pelo governo federal  juntamente com os municípios a fazer plantações na beira do Rio para o seu consumo e a venda também dessa verduras na feira e assim gerando economia nos municípios e gerando rendas para essas famílias, que o governo federal entre com investimentos nessa área com recursos."
Igualdade Racial,"1ª Graduação Grátis para Mãe Solo Pretas Acima de 30 anos.. Presidente Lula, venho pedir lhe que ajude a nós mulheres pretas, etc. acima, de 40 anos que criamos nossos filhos sozinhas a ter a 1ª Graduação grátis. O mercado de trabalho é cruel com a nossa faixa etária e estamos a mais de 10 anos atrás das mulheres brancas. Tivemos que optar por largar os estudos para criar os nossos filhos. Olhem com carinho pela nossa causa juntamente com os Ministérios da Igualdade Racial, Direitos Humanos e Educação. Gratidão, Telma Marques, Sou de Varginha MG."
Educação,"Faculdade EAD para alunos de baixa renda através de um vestibular online.. A proposta é que o governo federal forneça um esino superior por meios de bolsas para alunos de baixa renda alunos que estão cadastrados no cade único por meio de um ensino a distância que seja pelo menos reduzido os valores para que esse alunos tenha condições de pagar o esino superior, que o governo crie uma plataforma digital para fornecer esse esino a distância para esses alunos de baixa renda que morar nos interior dos Estados que não tem acesso a universidade ."
Agricultura e Pecuária,"Programa Pesquisa, Desenvolvimento e Inovação Agropecuária. Fortalecer a capacidade do setor produtivo agropecuário na superação dos desafios de produção sustentável por meio da geração, compartilhamento e da aplicação do conhecimento científico."
Saúde,Aposentadoria  tanto para homens e mulheres. Que a  aposentadoria para  homens e mulheres seja  com o valor que ganha no seu contracheque.
Transportes,Duplicação da BR 316. Duplicação da BR 316 de Teresina pi a Recife pe resolveria bastante o problema da região em todo seguimento.
Direitos Humanos e Cidadania,"Deficientes Intelectuais serem incluídos de fato como direito adquirido. . Jovens com Deficiência Mental Intelectual, não conseguem ser independentes financeiros de seus familiares e nem consegue o BPC Loas para se manterem vivos, com o mínimo de dignidade. Pois o Mercado de trabalho não os contratam pela deficiência. Eles não conseguem ler e escrever para fazer provas nas empresas na concorrência, não conseguem fazer concurso público. Oque eles irão fazer do seu futuro?"
Trabalho e Emprego,"Trabalho para pessoas 50+. Fazer a ligação de um cadastro profissional de pessoas que tem mais de 50 anos e possuem nível superior para apresentar às empresas que necessitam de seu trabalho.
Em todas as esferas do governo federal e no âmbito particular. 
São pessoas capazes e com conhecimento para contribuir com o país."
Direitos Humanos e Cidadania,"Programa Nacional de Central de Libras - Plataforma Digital Inteligente. Criação de um Programa Nacional de Central de Libras via Plataforma Digital Inteligente, que abranja todos os serviços públicos da União, Estados e Municípios de forma integrada, na forma que a Pessoa Surda possa ser atendida pelos Serviços Públicos de forma independente, autônoma, em tempo real e em qualquer localidade com o mesmo padrão de atendimento, sempre que precisar (24 por hora e 7 dias por semana): modelo em Toledo/PR em vigencia que pode ser utilizado."
Educação,"Formação educacional técnica para uma sociedade competitiva. Implantar e promover o ensino igualitários das linguagens das tecnologias e educação financeira em todas as etapas e modalidades da Educação Básica, com formação técnica e profissional ao final do ensino médio, promovendo o acesso aos novos mercados e formação cidadã participativa, valorizando e elevando o conhecimento dos profissionais da educação, contribuindo para uma sociedade mais ativa e competitiva."
Planejamento e Orçamento,"Política do Orçamento Mulher - Movimento Elas no Orçamento. Instituir os seguintes temas: uma análise ex ante sob a perspectiva de gênero em todos os programas (continuados e investimentos) do PPA  e o combate à desigualdade de gênero como objetivo estratégico de governo para todos os setoriais; uma contrapartida de gênero nos investimentos; e, a etiquetagem dos gastos sob a perspectiva de gênero para possibilitar a formulação de políticas baseadas em evidências, o monitoramento ativo dos gastos e a avaliação do desempenho orçamentário e seus resultados."
Turismo,"Apoio a projetos de infraestrutura turística.. Estruturar os destinos e os atrativos turíscos de forma sustentável com implantação de obras e sinalização turística, visando fomento ao fluxo turístitico e em toda cadeia produtiva do setor para o desenvolvimento econômico e inclusivo."
Desenvolvimento Agrário e Agricultura Familiar,PAA compra com doação simutanei. Produtos da agricultura familiar
Educação,"Que seja vetada a utilização de ""subsídios"" pelos prefeitos e governadores, para na formação salarial de Funcionários Públicos.. Que o salário de um Funcionário Público de carreira  quer seja Federal, Estadual ou Municipal não possa ser formado por SUBSÍDIOS, o que causa a longo prazo o achatamento da carreira. 
O salário deve ser o resultado de uma Carreira, composta por evoluções, enquadramentos, quinquênios e outras conquistas, por sua formação, estudo, merecimento, cursos de aprimoramento de suas funções. Funcionários da Educação, Saúde e Segurança são prejudicados, sem estímulo profissional ou quando da aposentadoria"
Meio Ambiente e Mudança do Clima,Reflorestar Mata de Araucaria.. Projeto para ampliação do reflorestamento da Mata de Araucaria. Recuperar e reflorestar os parques com ampliação de viveiros e criadouros de espécies do bioma. Fauna e Fora. Recuperar as áreas degradadas próximo aos municípios que estão dentro deste bioma. Revogar leis municipais e estaduais que permitiram o desmatamento com retirada de árvores centenárias do Pinheiro do Paraná. Fazer cumprir a lei do desmatamento ilegal punindo com rigor os grileiros madeireiros e garimpeiros que agem na área.
Desenvolvimento Agrário e Agricultura Familiar,"Programa de incentivo à transição agroecológica na propriedade agrícola familiar.. Criação de um programa com metas baseadas nos níveis da transição agroecológica, passando pela redução de insumos sintéticos até a substituição total  por insumos de base ecológica, criando uma equipe técnica para motivação ao ingresso na transição e acompanhamento aos produtores que se desafiarem."
Educação,"Reserva de Vagas em Cursos Técnicos e Universidades Públicas para Egressos do Sistema Prisional Brasileiro . A assistência educacional é uma das prestações básicas mais importantes não só para o homem livre, mas também para àquele indivíduo que se encontra privado de sua liberdade, constituindo-se, neste aspecto, como um elemento do tratamento penitenciário como meio para a reintegração do indivíduo ao meio social. A educação é garantida para todas as pessoas e está direcionada para o pleno desenvolvimento da personalidade do ser humano e o fortalecimento do respeito pelos direitos humanos e liberdades"
Planejamento e Orçamento,"Auxílio-alimentação: Requisitados dos municípios pela Justiça Eleitoral. Reformulação da resolução TSE 22.071 de 2005, art. 5º, III e IV, para ampliar a possibilidade de opção do recebimento do auxílio-alimentação pelos demais servidores requisitados dos municípios pela Justiça Eleitoral. Proposta também consta na Carta de São Luiz, documento originado no 80º Encontro do Colégio de Presidentes dos Tribunais Regionais Eleitorais - COPTREL, realizado em São Luiz - MA, em 23 e 24/02/2023."
Cidades,"Saneamento Básico. Programa do Ministério das Cidades para ampliar o acesso e melhorar a qualidade do saneamento básico para todos nas áreas urbanas e rurais.
O que faz:
- Abastecimento de água (urbana e rural)
- Esgotamento Sanitário (urbano e rural)
- Drenagem urbana e manejo de águas da chuva (enchentes, enxurradas e inundações)
- Drenagem para controle de doenças
- Resíduos sólidos (redução, não geração, reutilização, reciclagem, coleta e tratamento do lixo)
- Planejamento e gestão da política de saneamento"
Cidades,"Cidades Melhores. Programa do Ministério das Cidades para implementar as políticas de planejamento urbano, de gestão e de projetos urbanísticos
O que faz:
- Melhoria das áreas urbanas degradadas e subutilizadas
- Capacitação técnica para política públicas de desenvolvimento urbano
- Incentivo à transformação digital e sustentabilidade nos instrumentos de gestão urbana
- Planos Diretores (instrumento de planejamento da cidade para promover o desenvolvimento urbano integrado)"
Transportes,"Fortalecimento da infraestrutura rodoviária . Fortalecer a infraestrutura rodoviária nacional, pautando os investimentos conforme as potencialidades de cada região, visando ao transporte de cargas e passageiros de forma integrada e segura, com conforto para o usuário. Priorizar a utilização de CBUQ nos investimentos rodoviários, com foco nas regiões mais carentes (de boas rodovias e de recursos socioeconômicos), conforme levantamentos da CNT e do IBGE. Atenção especial ao Nordeste, que tem potencial turístico inexplorado."
Justiça e Segurança Pública,Projeto arte e  Vida socioeducativo . Projeto arte e vida socioeducativo tem o objetivo de insentivo  na arte e na sociedade aprender e desenvolver a arte junto com vida e virar lei Nacional
Direitos Humanos e Cidadania,"Movimento de mulheres imigrantes sem medo de lutar. Nós do Movimento de mulheres imigrantes sem medo de lutar nós  viemos propor no PPA participativo  que sejamos comtempladas nas políticas públicas as mulheres imigrantes que vivem em situação de vulnerabilidade no Brasil, Devido às péssimas políticas de nosso país, fomos obrigados a sair para Brasil em busca de oportunidades de ter uma vida digna. Nós queremos ser contempladas nos programas de habitação no Brasil, solicitamos apoio do Governo Federal."
Secretaria Geral da Presidência da República,"Democracia em Ação: Recursos Públicos para Campanhas de Sensibilização à Participação e Fomento ao Controle Social. A participação cidadã é a pedra angular de uma democracia saudável.
Para fortalecer nossa democracia, propomos uma iniciativa para alocar recursos públicos para campanhas de comunicação, divulgação e sensibilização que incentivem a participação cidadã e o controle social. Essas campanhas informarão e educarão os cidadãos sobre seus direitos e deveres, incentivando-os a se envolver ativamente nas decisões políticas e sociais. Além disso, elas destacarão a importância do controle social para garan"
Mulheres,"Legislação na área da Beleza. Convido á todos os interessados em debater, questionar, estabelecer leis, fazer o acompanhamento e seguirmos para os avanços técnologicos, sustentáveis e inovadores que o mercado da beleza comunica nos últimos tempos. Busco aliados na idealização, construção e resolução de questões que envolvem a beleza, bem estar e saúde de nossa população brasileira.
Que tenhamos um olhar ao mundo e saibamos ser a sucinta e grande diferença que movimentará milhões, da produção á comercialização no mercado."
Saúde,Habitação para migrantes . Maradia  Para imigrantes de baixa renda... Para aquelas mulheres que não temem como adquirir a casa própria. A mulher emigrante é uma guerreira que todos os dias quer avançar para dar uma vida melhor à sua família.
Saúde,"Criação de um Hospital Público Veterinário com objetivo de atender os tutores de baixa renda, protetores e OSC de proteção animal do Estado de Roraima. A criação de um hospital público no Estado de Roraima é justificada pelo acesso igualitário público aos cuidados veterinários: Ele garante que todos os proprietários de baixa renda, tenham acesso a cuidados veterinários adequados para seus animais ajudando a diminuir as disparidades na saúde animal e garantiria que os animais recebessem o tratamento adequado, independentemente da renda de seus proprietários. A saúde dos animais contribui com a saúde única."
"Desenvolvimento e Assistência Social, Família e Combate à Fome","Hortas Populares contra a Fome. Criar programa de modo a incentivar a criação de hortas orgânicas nos Municípios, em convênio com estes, utilizando-se de áreas públicas em desuso, criando pequenos centros de produção alimentar livre de agrotóxicos, para cultivo e distribuição entre os próprios moradores da região, priorizando aqueles de baixa renda, como medida de combate à fome e segurança alimentar e nutricional."
Desenvolvimento Agrário e Agricultura Familiar,"Cadeias produtivas agroecológicas em assentamentos de Reforma Agrária.. O objetivo  propõe no PPA o incentivo as cadeias produtivas agroecológicas em assentamentos de reforma Agrária como politica publica de desenvolvimento dos assentamentos em todo o pais, cadeias produtivas que visem toda a organização da produção no assentamento. Organizando a produção de sementes crioulas, bioinsumos, beneficiamento e comercialização dos produtos produzidos pelos assentados. assim fortalecendo a comunidade e os territórios onde os assentamentos estão localizados."
Justiça e Segurança Pública,"Criação da Delegacia da Polícia Federal e da Defensoria Pública da União em Franca/SP. Criar e instalar a Delegacia da Polícia Federal e uma Unidade da Defensoria Pública da União no município de Franca/SP, para permitir adequado combate à criminalidade, especialmente de crimes envolvendo pedofilia.
A instalação das duas unidades numa cidade com mais de 350 mil habitantes permitirá adequado acesso à Justiça, pois é inviável que a cidade tenha unidade da Justiça Federal e não possua órgãos que trabalhem intimamente ligados com o Poder Judiciário."
Saúde,"Saúde pública estatal, universal, integral - SUS. Garantir a constituição de um ente triparte regional, viabilizando a implantação de uma gestão intergovernamental do SUS através da Administração Estatal Indireta e sob a égide do Direito Público, a qual deverá ter abrangência nacional, bases regionais, gestão e financiamento compartilhado pelas três esferas de governo e atuação integrada para garanti a prevenção, a promoção da saúde e da assistência, desde a atenção básica à alta complexidade, possibilitando um plano de carreira nacional do SUS"
Saúde,"Implantação do Centro de Bem Estar Animal Público no Estado de Roraima. A importância do Centro de Bem Estar Animal está diretamente ligada à saúde pública no Estado de Roraima. A reprodução descontrolada dos animais que permanecem nas ruas, alguns abandonados por seus donos, outros abandonados pelo poder público, oferecem riscos à saúde devido às zoonoses veiculadas. Nesse sentido a proposição se justifica pela necessidade de se ter um local que ofereça todas as condições de recuperação da saúde dos animais e de seu bem estar, proporcionando uma adoção responsável."
Transportes,"Cuidando da comunidade. Que o governo fiscalize o que as capitais estão fazendo com os repasses para moradias dignas. É uma vergonha a quantidade de bairros de Belo Horizonte sem asfalto, sem falar na região metropolitana.  Bairros sem asfalto limitam o acesso das crianças as escolas, das pessoas com necessidades especiais etc. Que os vereadores pare, de ficar tápando buraco do bairro que mora e enxergue a capital como um todo!"
Saúde,"Controle Social no SUS - Conselhos de Saúde. Fortalecer as instâncias de controle social no SUS através da garantia das condições de pleno funcionamento dos Conselhos de Saúde, como órgãos colegiados permanentes, deliberativos e fiscalizadores, garantindo servidores em quantidade suficiente, nas áreas técnicas e administrativas, assim como a estrutura básica e tecnológica para o seu bom funcionamento, nos três níveis da administração pública."
"Desenvolvimento e Assistência Social, Família e Combate à Fome",Descentralização de Recursos financeiros para Hospitais e UPAs. Transferir dinheiro para reformas e pequenos reparos para hospitais e UPAs. Incluir a aquisição de pequenos equipamentos permanentes.
Saúde,"Contra a privatização e terceirização do SUS nas três esferas de governo. Garantir o Sistema Único de Saúde público e estatal, abolindo todas as formas de precarização das relações de trabalho, terceirização e privatização, que abrange toda extensão do SUS, da Atenção Básica à Alta Complexidade, exames, pesquisa, produção de insumos e medicamentos."
Meio Ambiente e Mudança do Clima,"Menos plásticos e embalagens supérfluas. Criar um programa que estimule empresas e sociedade civil a repensar o uso indiscriminado de embalagens, principalmente as plásticas. Muitos produtos não necessitam desses materiais, que são jogados fora com facilidade. Exemplos: caixas de sapato, embalagens para roupas, caixa de creme dental, etc"
Transportes,"Regularização dos galpões de reciclagem . 1. Renovação dos contratos de locação para os galpões que estão em atividades.
2. Reforma estrutural para os galpões que estão desenvolvendo suas atividades em condições insalubre.
3. Retomada dos pagamentos referente ao abastecimento de água e energia elétrica dos galpões"
Trabalho e Emprego,"Contratação das associações e cooperativas de catadores de materiais recicláveis e reutilizáveis . Apoio técnico, administrativo, contábeis e financeiros na elaboração da documentação junto aos órgãos competentes pelo licenciamento ambiental e demais exigências para que as cooperativas e associações possam desenvolver suas atividades com a devida regularidade"
Previdência Social,Garantía de aposentadoria para os catadores e catadoras de materiais recicláveis . Garantir os serviços de seguridade social (aposentadoria) para a categoria de catadores e catadoras de materiais recicláveis.
Meio Ambiente e Mudança do Clima,"Remuneração por manter a floresta. Os produtores rurais precisam de uma motivação maior do que o medo de multas (que raramente acontecem) para não desmatarem.
O produtor rural vê no desmatamento uma possibilidade de aumentar a sua renda, que muitas vezes é pequena considerando o tamanho do investimento.
Para reduzir o desmatamento é preciso remunerar aqueles produtores que preservam a floresta.
É obrigação do governo federal buscar recursos internacionais de todos que dizem que a Amazônia é um patrimônio mundial."
Justiça e Segurança Pública,"Mulheres Egressas do Sistema Prisional. Estender o Programa Minha Casa Minha Vida para as mulheres donas de casa chefes de famílias e para as mulheres em situação de Privação de Liberdade e de ex-Reeducandas. 

Incentivar a geração de emprego e renda para as mulheres em situação de sistema semi-aberto e albergadas, em parceria com as empresas privadas."
Direitos Humanos e Cidadania,"Recuperação de Dependentes Químicos. Alocar recursos para a Agência Adventista de Desenvolvimento e Recursos Assistenciais - ADRA-RR, visando a implementação e a manutenção de uma Clinica de Recuperação de Dependentes Químicos."
Integração e Desenvolvimento Regional,Reflorestar com guavira  e erva mate nas reservas indígenas e propriedades rurais   . Construir viveiros de mudas para resgatar o sistema produtivo de exploração de vegetação nativa com manejo e técnicas  de desenvolvimento regional e local dos povos originário na região historicamente de cultivo de Erva mate e Guavira. Gerando renda com a preservação da cultura e meio ambiente sustentável.
Educação,"Fortalecimento e Expansão do Instituto Federal do Triângulo Mineiro (IFTM) . O Instituto Federal do Triângulo Mineiro (IFTM) neste ato representado pela Reitora e Presidente do Conselho Superior do IFTM, Deborah Santesso Bonnas, sugere que conste no PPA a proposta de fortalecimento e expansão do IFTM, com investimentos para garantir a infraestrutura adequada a seus nove campi, a transformação dos seus polos presenciais em Ibiá, João Pinheiro e Coromandel em campi e também a criação de novos campi do IFTM em sua área de abrangência.
Acesse: www iftm.edu.br."
